"nationality","birthDate","latitude","longitude"
"Nigeria","1992-03-23T00:00:00.000Z",5.1089602,7.36378
"Côte d'Ivoire","1980-12-14T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1993-06-15T00:00:00.000Z",5.3572102,-4.0157599
"Switzerland","1987-01-18T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1987-11-30T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1983-04-02T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1984-05-22T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1978-03-11T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1992-08-28T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1986-10-17T00:00:00.000Z",5.3572102,-4.0157599
"Nigeria","1992-12-12T00:00:00.000Z",9.0630903,7.4617801
"Ghana","1982-12-03T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1988-12-09T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1990-10-18T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1989-12-31T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1992-05-01T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1991-09-19T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1987-04-23T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1985-11-22T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1990-07-13T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1992-01-10T00:00:00.000Z",5.7741599,0.63377
"Australia","1988-07-03T00:00:00.000Z",-34.9248009,138.5910034
"Australia","1989-08-15T00:00:00.000Z",-34.9248009,138.5910034
"Switzerland","1984-01-16T00:00:00.000Z",47.0716019,8.3761396
"Iran","1982-10-20T00:00:00.000Z",31.3167133,48.6843834
"Iran","1983-09-06T00:00:00.000Z",31.3167133,48.6843834
"France","1990-03-08T00:00:00.000Z",41.9087982,8.7113705
"Nigeria","1990-09-16T00:00:00.000Z",7.2610002,5.25945
"Costa Rica","1983-07-21T00:00:00.000Z",10.01616,-84.2137604
"Spain","1984-05-11T00:00:00.000Z",38.9822006,-1.8533601
"Algeria","1986-09-02T00:00:00.000Z",36.7805595,3.03901
"Algeria","1988-06-18T00:00:00.000Z",36.7805595,3.03901
"Portugal","1985-02-02T00:00:00.000Z",38.6757011,-9.1636105
"Ecuador","1991-01-20T00:00:00.000Z",0.42664,-78.0097809
"Brazil","1991-09-09T00:00:00.000Z",-22.7420006,-47.3272018
"Netherlands","1990-03-09T00:00:00.000Z",52.3306999,4.86654
"Netherlands","1984-11-30T00:00:00.000Z",52.3306999,4.86654
"Netherlands","1987-11-24T00:00:00.000Z",52.3306999,4.86654
"Chile","1988-06-15T00:00:00.000Z",-23.6035004,-70.3740997
"Belgium","1993-05-13T00:00:00.000Z",51.235199,4.4238801
"Côte d'Ivoire","1987-05-27T00:00:00.000Z",5.4933901,-4.0897598
"Iran","1990-04-03T00:00:00.000Z",38.2481117,48.30476
"Spain","1986-01-08T00:00:00.000Z",27.7620201,-15.6833096
"Cameroon","1984-03-24T00:00:00.000Z",50.2905998,2.7862101
"Greece","1984-06-27T00:00:00.000Z",49.987999,9.1098804
"Ecuador","1988-02-21T00:00:00.000Z",-0.02437,-79.9571915
"Greece","1990-12-21T00:00:00.000Z",37.9928017,23.7695007
"Greece","1985-07-11T00:00:00.000Z",37.9928017,23.7695007
"Greece","1991-06-14T00:00:00.000Z",37.9928017,23.7695007
"Costa Rica","1983-08-13T00:00:00.000Z",9.8849916,-84.2272339
"Algeria","1991-02-21T00:00:00.000Z",46.6372795,2.3382623
