firstName,lastName,nickname,nationality,age,birthDate,birthCountry,birthCity,position,foot,image,heightCm,weightKg,goals,ownGoals,penaltyGoals,assists,teamId,clubId,id,type
Henri,Bedimo Nsamè,H. Bedimo,Cameroon,30,1984-06-04T00:00:00.000Z,Cameroon,Douala,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/47038.png,180,80,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,712738C7-BE6A-4C5C-B2FA-E7C09E950464,6EA2BF4B-81EC-48E0-B297-EA49D3553033,Player
Benoît,Assou-Ekotto,B. Assou-Ekotto,Cameroon,30,1984-03-24T00:00:00.000Z,France,Arras,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2938.png,178,70,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,ED50B1E3-841B-4889-BCD3-40067FCBE3A9,C759CF7D-B628-45C1-B938-1BF26AB8256D,Player
Nicolas Alexis Julio,N'Koulou N'Doubena,N. N'Koulou,Cameroon,24,1990-03-27T00:00:00.000Z,Cameroon,Yaoundé,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39105.png,180,77,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,5AF524A1-830C-4D75-8C54-2D0BA1F9BE33,D9AD1E6D-4253-4B88-BB78-0F43E02AF016,Player
Alexandre Dimitri,Song-Billong,A. Song,Cameroon,26,1987-09-09T00:00:00.000Z,Cameroon,Douala,Midfielder,Both,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2962.png,180,76,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,35BCEEAF-37D3-4685-83C4-DDCA504E0653,A84540B7-37B6-416F-8C4D-8EAD55D113D9,Player
Stéphane,M'Bia Etoundi,S. M'Bia,Cameroon,28,1986-05-20T00:00:00.000Z,Cameroon,Yaoundé,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1462.png,189,82,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,0CA624BC-83F7-4BEB-A99C-C69352E6C10D,A6075C77-134D-4D33-A2A7-0EDE8CFBDC46,Player
Landry Joel Tsafack,N'Guémo,L. N'Guémo,Cameroon,28,1985-11-28T00:00:00.000Z,Cameroon,Yaoundé,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1217.png,173,70,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,0EFD928C-6F64-44E1-A29C-2CD9D02F7863,EC77DFDC-044A-43A5-A18D-8B931652883F,Player
Jean II,Makoun,J. Makoun,Cameroon,31,1983-05-29T00:00:00.000Z,Cameroon,Yaoundé,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2071.png,173,69,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,13490DB2-38ED-4F4A-A743-05579038ABD3,4360641A-669A-4E94-8A92-2CA776159E71,Player
Pierre Achille,Webó Kouamo,P. Webó,Cameroon,32,1982-01-20T00:00:00.000Z,Cameroon,Bafoussam,Attacker,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/3966.png,180,78,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,B0ABA58A-838A-402E-A0E4-835BD68497FD,A61C31E5-FE46-4F85-A210-5618505FAA52,Player
Loïc Maxime,Feudjou Nguegang,L. Feudjou,Cameroon,22,1992-04-14T00:00:00.000Z,Cameroon,Goalkeeper,182 cm,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/246627.png,,,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,47881BD6-0E6B-4A93-80DB-0DDBE0927F5F,FDF91E31-A0E2-4231-A801-870B05FC00DC,Player
Charles-Hubert,Itandje,C. Itandje,Cameroon,31,1982-11-02T00:00:00.000Z,France,Bobigny,Goalkeeper,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1426.png,193,90,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,D8715A78-C213-483F-AF47-369334D05C11,A1E4B378-9AEA-449A-B723-A69E38AF3529,Player
